,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
209,0.0182,0.897,432496,0.64,0.558,7,0.0481,-7.624,1,0.14,120.006,4,0.831,happy
210,0.908,0.468,98400,0.167,0.293,6,0.106,-18.723,0,0.0293,99.928,4,0.0495,happy
211,0.0229,0.581,293904,0.271,0.823,4,0.105,-12.354,0,0.0389,73.997,4,0.163,happy
212,0.882,0.418,203008,0.202,0.000394,1,0.104,-10.219,1,0.0337,138.872,4,0.0855,happy
213,0.826,0.384,153600,0.206,0.0,0,0.553,-11.961,0,0.0319,170.172,4,0.667,happy
214,0.217,0.567,209061,0.659,3.75e-06,10,0.0646,-7.195,0,0.252,195.329,4,0.883,happy
215,0.832,0.436,305024,0.781,0.771,8,0.117,-13.526,1,0.0428,143.997,3,0.851,happy
216,0.0334,0.868,262457,0.788,2.6e-05,1,0.0801,-4.321,1,0.0547,114.674,4,0.961,happy
217,0.442,0.679,828560,0.861,0.878,7,0.0828,-6.415,0,0.0613,119.439,4,0.896,happy
218,0.212,0.576,262133,0.652,0.000288,0,0.083,-10.967,0,0.0358,141.366,4,0.679,happy
219,0.981,0.239,218520,0.134,0.828,0,0.0781,-19.858,1,0.0345,55.53,5,0.0427,happy
220,0.358,0.444,284293,0.644,0.000101,4,0.136,-7.775,0,0.0297,173.963,4,0.736,happy
221,0.255,0.713,289813,0.438,0.0,7,0.257,-16.873,1,0.145,86.396,4,0.773,happy
222,0.655,0.743,289960,0.362,0.907,3,0.0847,-15.552,0,0.0818,118.04,4,0.524,happy
223,0.0266,0.399,385120,0.769,0.917,5,0.687,-8.338,1,0.0441,88.862,4,0.382,happy
224,0.000518,0.646,91115,0.608,0.888,1,0.108,-5.192,0,0.04,95.497,4,0.786,happy
225,0.0976,0.73,297845,0.573,0.311,5,0.0728,-9.022,0,0.0462,109.008,4,0.747,happy
226,0.0118,0.766,190971,0.546,0.791,5,0.11,-8.888,1,0.111,112.134,4,0.447,happy
227,0.181,0.207,283676,0.337,0.853,6,0.102,-16.173,1,0.0368,67.894,4,0.216,happy
228,0.222,0.787,171720,0.86,0.0,0,0.278,-5.897,1,0.109,113.285,4,0.831,happy
229,0.798,0.41,254933,0.112,0.000838,7,0.152,-19.215,1,0.0331,101.425,4,0.0922,happy
230,0.844,0.237,252865,0.371,0.0274,5,0.371,-9.524,0,0.029,147.469,4,0.13,happy
231,0.0733,0.799,81964,0.552,0.885,0,0.178,-11.819,1,0.0405,112.034,4,0.675,happy
232,0.138,0.789,156129,0.475,0.848,3,0.0944,-11.941,0,0.0784,122.99,4,0.68,happy
233,0.853,0.71,104791,0.368,0.935,11,0.13,-14.381,0,0.0436,109.972,4,0.123,happy
234,0.068,0.66,189464,0.882,0.784,4,0.0817,-3.693,0,0.0421,112.009,4,0.465,happy
235,0.0387,0.732,123855,0.569,0.922,8,0.103,-9.849,1,0.0415,112.007,4,0.768,happy
236,0.024,0.888,215860,0.624,0.0404,6,0.0571,-6.544,0,0.0766,109.01,4,0.957,happy
237,0.00591,0.725,123207,0.529,0.821,7,0.0462,-8.863,1,0.108,92.515,4,0.831,happy
238,0.402,0.719,244200,0.572,0.898,7,0.125,-11.245,0,0.0347,87.969,4,0.928,happy
239,0.243,0.838,213823,0.39,0.517,10,0.0524,-8.749,0,0.065,101.998,4,0.492,happy
240,0.239,0.844,232551,0.387,0.36,6,0.0815,-8.133,0,0.109,102.012,4,0.653,happy
241,0.00249,0.721,129971,0.43,0.849,1,0.122,-9.328,1,0.0603,90.547,4,0.911,happy
242,0.0113,0.692,208944,0.248,0.323,2,0.106,-14.99,1,0.123,89.538,4,0.379,happy
243,0.0124,0.722,496150,0.756,0.0545,1,0.416,-10.596,1,0.04,126.008,4,0.389,happy
244,0.255,0.743,153254,0.459,0.705,2,0.0332,-11.787,0,0.0845,90.995,4,0.653,happy
245,0.258,0.493,244370,0.782,0.692,11,0.0993,-8.552,0,0.272,178.152,4,0.613,happy
246,0.468,0.626,184009,0.462,0.0067,8,0.0411,-6.734,0,0.0274,111.392,3,0.717,happy
247,0.308,0.912,291207,0.607,0.731,8,0.435,-7.195,0,0.0722,115.979,4,0.788,happy
248,0.452,0.675,279400,0.732,1.84e-05,9,0.201,-4.5,1,0.0443,175.01,4,0.83,happy
249,0.0719,0.624,189696,0.788,0.867,1,0.134,-7.675,0,0.0392,123.011,4,0.276,happy
250,0.0621,0.725,219280,0.487,0.113,1,0.095,-5.358,0,0.0403,86.478,4,0.558,happy
251,0.547,0.706,331827,0.483,1.94e-06,1,0.136,-7.929,1,0.0393,92.002,4,0.663,happy
252,0.0863,0.508,198262,0.34,0.000325,9,0.262,-11.311,1,0.0384,125.519,4,0.396,happy
253,0.0108,0.643,265298,0.78,0.00069,10,0.305,-8.306,0,0.0718,136.891,4,0.963,happy
254,0.113,0.744,291067,0.953,6.38e-05,7,0.0736,-6.749,1,0.0361,127.006,4,0.961,happy
255,0.809,0.631,231053,0.449,0.000584,7,0.135,-10.752,1,0.0722,91.624,4,0.612,happy
256,0.9,0.582,237347,0.299,8.4e-05,9,0.214,-11.216,0,0.0684,93.888,4,0.403,happy
257,0.817,0.421,102893,0.629,0.0744,4,0.127,-9.216,0,0.0529,77.769,3,0.344,happy
258,0.867,0.674,78187,0.299,0.86,10,0.147,-18.782,0,0.219,88.723,4,0.672,happy
